474

0 6 12 18 24 30 36 42 48 54 
5 11 17 23 29 35 41 47 53 59 
3 8 13 19 29 33 41 46 49 58 
5 10 14 20 27 32 41 45 52 58 
0 11 15 20 25 34 40 47 50 57 
4 10 15 22 29 33 37 47 52 55 
4 11 13 22 28 31 39 43 50 59 
2 9 17 21 26 33 41 44 52 56 
1 7 16 19 25 34 39 46 53 56 
1 10 13 23 29 32 38 44 51 56 
4 8 14 23 26 35 37 44 48 57 
2 9 12 19 28 35 38 46 50 54 
3 6 15 23 28 32 40 45 49 59 
3 10 16 21 28 35 39 42 48 58 
0 7 13 18 27 31 37 47 51 58 
2 7 14 23 24 30 41 43 51 55 
1 10 17 21 24 31 36 45 53 57 
5 11 16 19 26 31 40 42 52 54 
3 9 17 22 27 30 38 47 49 57 
2 8 17 20 28 32 37 42 53 55 
5 6 12 21 29 34 39 43 52 57 
4 9 16 18 27 32 36 44 53 59 
5 7 12 18 25 33 40 44 49 55 
5 11 14 21 28 30 37 46 49 56 
4 6 16 21 25 33 38 45 51 54 
1 9 15 18 24 35 40 43 52 58 
1 11 12 22 26 34 41 45 48 55 
3 8 12 20 24 35 39 47 51 56 
3 7 14 22 28 34 36 44 52 54 
0 8 15 19 27 30 39 44 52 59 
2 6 14 22 27 33 40 42 50 58 
0 10 16 23 26 33 36 46 50 55 
0 7 17 19 26 32 38 43 48 58 
1 8 14 20 25 33 36 43 48 59 
5 9 13 23 24 34 37 45 50 54 
4 6 17 18 29 31 40 46 48 56 
2 10 16 20 24 34 38 44 49 59 
0 9 14 20 29 31 39 42 49 55 
4 7 13 20 26 30 41 42 53 57 
5 9 15 22 25 31 41 46 51 59 
2 11 13 19 27 35 36 45 48 56 
1 6 13 19 28 30 40 47 53 55 
3 10 17 18 25 32 41 43 50 54 
2 11 15 18 26 32 39 46 51 57 
3 8 15 21 26 31 38 43 53 55 
1 7 12 23 27 31 38 42 52 59 
0 10 12 22 25 35 37 43 53 56 
2 8 16 22 29 30 36 45 51 58 
4 6 15 20 27 35 37 43 49 54 
3 9 16 19 28 33 37 43 51 57 
0 6 13 21 24 35 41 44 50 55 
4 9 17 23 25 34 36 42 49 58 
2 10 12 21 26 30 40 47 51 59 
0 8 16 18 28 31 41 45 52 57 
3 7 14 18 29 35 38 45 50 59 
2 7 15 23 25 31 39 47 48 54 
1 11 12 19 24 32 37 44 50 58 
5 8 15 18 28 33 38 42 50 56 
0 8 14 22 24 32 40 46 53 54 
5 6 17 19 27 34 36 46 51 55 
3 11 13 23 25 30 39 46 52 55 
5 6 13 22 25 32 37 42 48 57 
1 8 16 21 29 34 37 47 49 54 
4 7 12 21 29 32 36 42 50 56 
3 11 12 20 29 33 40 45 53 54 
4 11 14 21 24 34 38 47 53 58 
5 6 17 20 26 30 39 44 50 58 
4 6 12 19 26 31 36 47 49 57 
0 9 16 23 27 34 41 43 48 56 
0 10 13 22 26 33 39 45 49 54 
1 10 14 18 28 34 40 42 51 57 
3 7 15 21 24 33 37 46 48 57 
3 9 12 20 26 34 37 46 52 59 
2 6 14 18 25 30 38 47 52 56 
3 10 14 19 27 31 40 44 50 56 
1 7 17 22 26 35 37 42 51 54 
4 9 15 20 28 30 36 45 48 55 
5 11 16 22 24 32 36 43 49 55 
2 10 13 18 27 33 38 43 53 57 
1 11 15 23 28 33 41 44 53 54 
4 8 17 19 24 33 40 45 50 59 
1 11 16 20 29 30 38 46 48 57 
0 7 17 21 25 35 39 46 49 59 
5 8 12 23 28 31 36 46 53 58 
2 7 16 21 27 32 40 46 52 55 
2 10 15 19 29 32 41 42 48 59 
2 8 13 22 24 34 39 42 52 56 
1 9 14 21 27 30 39 46 50 54 
2 6 15 18 29 34 37 44 53 58 
4 7 16 23 28 35 40 47 52 56 
4 9 14 19 29 32 41 47 51 54 
3 9 13 20 25 31 38 44 48 58 
5 9 14 19 25 35 39 45 53 57 
0 11 17 22 28 33 36 47 51 56 
1 6 17 23 24 33 39 43 49 56 
3 11 16 18 27 30 37 42 50 55 
4 10 13 20 24 31 36 46 51 54 
0 8 12 19 25 34 38 42 51 55 
5 8 13 20 29 35 40 43 50 55 
2 7 16 20 26 31 37 45 50 56 
4 10 16 19 25 30 40 43 49 58 
1 6 16 22 29 35 36 46 52 59 
3 6 12 23 27 35 41 44 51 57 
1 8 15 23 27 32 36 47 50 57 
0 11 15 23 24 31 38 45 49 58 
1 8 13 18 26 30 36 44 49 56 
0 9 13 21 28 32 38 47 52 59 
5 6 16 18 26 33 41 47 48 59 
0 7 17 23 29 30 40 44 53 57 
4 7 12 22 27 30 39 46 48 58 
5 10 15 22 27 35 38 44 48 54 
2 11 14 21 25 31 41 43 49 57 
4 7 17 18 26 34 39 45 52 55 
3 6 14 22 24 31 37 47 53 59 
2 7 12 20 28 34 41 47 49 58 
3 10 15 23 26 34 36 42 53 56 
3 8 13 21 27 34 41 45 51 59 
3 6 17 19 29 32 37 45 52 56 
5 9 16 21 24 30 40 42 53 56 
1 11 17 20 27 32 40 43 51 59 
0 11 14 21 27 35 36 42 52 57 
2 6 14 19 28 33 39 44 48 55 
5 10 12 18 24 31 39 47 50 55 
1 9 16 22 26 33 39 47 53 58 
4 8 17 23 28 30 38 43 52 54 
1 6 15 21 25 30 41 42 52 58 
0 7 16 22 29 31 41 44 50 54 
2 6 13 23 26 35 38 42 49 55 
2 9 12 23 24 32 40 45 48 57 
2 10 17 20 25 35 36 44 52 57 
5 7 15 20 28 34 38 43 53 59 
5 8 17 21 28 32 39 44 51 54 
5 11 17 18 25 33 37 45 48 58 
1 10 12 18 27 35 41 46 49 56 
0 9 12 21 29 35 40 45 51 58 
4 8 14 22 25 32 41 45 49 56 
5 7 13 19 25 30 36 47 50 59 
0 10 13 21 29 30 37 43 48 59 
0 6 14 20 28 35 38 46 51 58 
1 9 17 23 25 31 37 44 51 55 
4 10 17 22 28 34 37 46 50 57 
4 7 15 19 24 34 40 44 51 56 
