18

0 2 4 6 8 10 12 14 16 18 20 22 
1 3 5 7 9 11 13 15 17 19 21 23 
1 2 5 6 8 10 13 15 16 18 21 23 
0 3 4 7 9 10 12 15 17 19 20 22 
1 3 5 7 8 11 12 14 16 18 20 23 
0 2 4 6 9 11 13 14 17 19 21 22 
0 3 4 7 9 10 13 14 16 18 21 23 
1 2 5 6 9 11 12 15 17 18 20 22 
1 3 4 6 8 11 12 15 16 19 21 22 
0 2 5 7 8 10 13 14 17 19 20 23 
0 3 4 6 8 11 13 15 17 18 20 23 
1 3 5 6 9 10 13 14 16 19 20 22 
0 2 5 7 9 11 12 15 16 19 21 23 
1 2 4 7 8 10 12 14 17 18 21 22 
1 2 4 6 9 10 12 14 17 19 20 23 
0 3 5 7 8 11 13 15 16 18 21 22 
1 2 4 7 8 11 13 15 16 19 20 23 
0 3 5 6 8 10 12 14 17 19 21 22 
