217

0 6 12 
5 11 17 
5 8 13 
4 7 16 
3 9 14 
5 11 15 
2 10 15 
1 11 16 
3 8 13 
2 6 15 
4 10 17 
1 7 15 
4 9 15 
1 11 12 
0 11 16 
5 10 14 
3 9 17 
2 10 12 
2 11 13 
2 8 16 
4 7 15 
0 11 13 
2 6 17 
4 11 14 
3 9 16 
5 8 12 
3 6 14 
3 7 16 
0 8 16 
1 11 13 
4 7 12 
5 9 17 
3 10 14 
5 6 17 
1 11 15 
0 9 17 
0 10 14 
1 10 12 
1 7 14 
4 9 13 
1 8 17 
5 6 14 
3 10 12 
1 7 12 
5 6 13 
2 9 13 
5 8 14 
0 10 17 
4 11 16 
2 11 15 
2 6 14 
3 8 15 
2 7 14 
0 9 13 
3 6 16 
4 11 17 
4 8 16 
3 7 13 
5 10 12 
0 7 14 
4 11 15 
1 7 13 
2 9 16 
4 6 13 
3 7 12 
0 11 17 
1 8 13 
2 11 12 
5 7 15 
1 9 15 
0 11 14 
4 6 17 
1 10 15 
4 8 17 
4 9 12 
5 6 15 
3 10 16 
0 8 14 
5 9 16 
5 8 16 
3 8 12 
0 9 15 
5 10 15 
2 11 17 
2 6 13 
4 7 14 
1 6 17 
5 9 12 
5 10 16 
0 11 15 
1 10 16 
3 7 14 
5 6 12 
4 8 13 
0 11 12 
2 8 13 
2 9 15 
4 6 14 
5 7 13 
1 11 17 
2 10 16 
3 11 13 
0 8 12 
3 9 12 
3 8 17 
3 10 15 
0 10 16 
1 10 13 
4 7 17 
5 6 16 
2 10 17 
1 9 16 
2 7 16 
5 11 14 
4 6 15 
0 8 13 
4 8 12 
3 9 15 
2 10 14 
1 6 16 
4 7 13 
0 10 15 
1 7 17 
2 9 12 
0 6 16 
5 7 14 
1 8 16 
3 8 14 
1 8 12 
3 9 13 
0 8 15 
0 8 17 
1 6 15 
3 6 12 
0 9 16 
1 9 14 
4 9 17 
2 7 17 
1 11 14 
5 10 17 
5 11 13 
2 6 16 
5 7 16 
1 9 12 
4 9 16 
1 6 12 
4 11 13 
2 7 15 
2 10 13 
0 10 13 
3 6 15 
1 8 14 
3 6 13 
1 6 14 
1 10 17 
0 6 13 
1 7 16 
5 7 12 
3 8 16 
4 8 14 
3 7 17 
0 11 17 
2 8 14 
0 7 16 
0 9 12 
5 8 15 
2 11 16 
4 9 14 
5 8 17 
3 10 17 
4 10 12 
4 6 12 
2 8 15 
0 9 14 
4 11 12 
0 7 13 
1 8 15 
3 11 17 
4 10 16 
2 9 17 
3 11 12 
4 8 15 
2 7 13 
2 11 14 
5 9 15 
0 6 15 
4 10 15 
5 7 17 
2 9 14 
5 9 13 
0 6 14 
3 10 13 
5 11 12 
2 8 17 
5 10 13 
3 6 17 
2 8 12 
0 6 17 
3 7 15 
5 11 16 
3 11 14 
0 7 15 
4 10 13 
1 9 17 
0 7 12 
5 9 14 
2 7 12 
2 6 12 
1 10 14 
3 11 15 
4 6 16 
1 6 13 
0 10 12 
4 10 14 
3 11 16 
0 7 17 
1 9 13 
