248

0 6 12 18 
5 11 17 23 
3 11 15 23 
0 8 16 21 
3 9 14 22 
2 7 16 21 
4 7 13 20 
1 11 16 19 
4 10 12 23 
5 10 15 19 
1 9 16 22 
5 8 13 18 
5 8 14 20 
4 6 13 23 
2 6 15 19 
1 9 17 21 
1 6 14 22 
0 8 17 23 
3 10 12 20 
2 7 17 22 
4 9 12 18 
3 7 15 19 
5 9 14 21 
1 9 13 18 
2 11 17 20 
0 10 16 23 
4 10 13 21 
2 8 14 23 
3 6 12 19 
3 7 17 20 
2 11 15 22 
3 11 13 18 
0 8 12 20 
4 6 16 21 
1 8 15 22 
0 9 17 19 
3 10 16 18 
5 7 15 22 
1 9 14 19 
4 8 14 21 
0 10 13 18 
3 11 12 21 
5 7 14 23 
2 6 13 20 
1 10 16 21 
0 11 15 19 
4 8 13 22 
2 7 12 20 
0 10 17 22 
5 9 15 23 
5 6 17 18 
2 11 16 23 
5 7 13 19 
1 10 14 20 
2 6 12 23 
4 7 17 23 
4 6 14 18 
4 9 15 20 
4 8 12 19 
4 7 16 18 
3 11 16 20 
1 11 13 21 
0 8 14 22 
1 8 17 19 
4 10 17 18 
4 7 12 21 
3 6 13 22 
3 9 15 18 
5 10 16 22 
0 10 14 21 
2 6 14 21 
1 6 17 20 
0 6 13 19 
2 10 15 20 
3 9 16 21 
4 11 12 22 
5 7 12 18 
0 8 15 18 
1 8 16 23 
5 8 12 23 
2 9 16 18 
4 11 14 19 
0 11 13 22 
3 6 15 20 
5 6 15 21 
0 9 14 18 
2 7 14 19 
1 8 13 20 
2 8 17 21 
5 9 12 22 
3 11 17 22 
3 10 17 23 
3 7 16 23 
1 10 13 19 
4 6 12 20 
1 7 12 19 
0 6 15 22 
5 6 16 23 
2 9 13 22 
4 11 17 21 
2 9 12 19 
1 11 14 23 
5 7 16 20 
4 10 15 22 
5 10 14 18 
0 9 13 23 
3 9 13 20 
0 10 12 19 
1 6 16 18 
4 8 15 23 
5 7 17 21 
2 8 12 22 
5 11 14 22 
2 9 17 23 
5 11 15 20 
3 7 14 21 
1 7 14 18 
0 7 16 19 
3 8 13 21 
2 10 17 19 
4 11 15 18 
0 9 16 20 
1 10 12 22 
2 7 15 18 
1 7 15 21 
5 6 14 19 
2 11 13 19 
2 8 16 20 
0 7 14 20 
3 8 12 18 
4 6 17 19 
0 11 17 18 
5 10 12 21 
1 9 12 23 
3 8 16 22 
5 10 13 20 
0 11 12 23 
1 6 12 21 
3 10 15 21 
4 9 14 23 
5 9 17 20 
4 9 13 19 
5 8 17 22 
2 9 15 21 
5 11 16 18 
1 7 13 22 
0 7 13 21 
3 6 17 21 
2 6 16 22 
4 8 17 20 
1 6 15 23 
2 11 14 18 
3 10 14 19 
0 7 15 23 
4 10 16 20 
5 8 16 19 
1 11 12 18 
0 9 12 21 
3 6 14 23 
2 10 13 23 
1 10 15 18 
3 7 12 22 
0 11 13 20 
2 8 13 19 
4 9 17 22 
5 11 12 19 
0 6 17 21 
2 9 14 20 
4 8 16 18 
3 9 17 18 
1 9 15 19 
5 6 13 22 
1 11 12 20 
3 8 15 20 
3 6 16 19 
0 10 15 20 
4 7 14 22 
2 6 13 18 
1 7 13 23 
0 11 16 21 
2 10 14 22 
3 8 17 19 
1 10 17 23 
5 8 15 21 
4 11 16 22 
0 7 17 18 
3 7 13 18 
0 6 14 23 
5 9 16 19 
1 7 15 20 
3 10 13 22 
2 11 12 21 
0 8 14 19 
3 8 13 23 
4 7 15 19 
0 6 16 20 
2 10 12 18 
1 8 12 21 
3 11 14 20 
1 8 17 18 
3 9 12 23 
5 11 13 21 
1 11 17 22 
4 10 16 19 
2 6 13 21 
0 9 15 22 
5 6 12 20 
4 11 13 23 
2 6 17 23 
2 10 15 23 
4 9 16 23 
3 8 14 18 
0 11 15 21 
4 6 17 22 
0 7 16 22 
1 7 17 19 
1 6 13 19 
2 8 17 18 
4 10 14 20 
4 6 15 21 
5 9 15 18 
2 10 17 21 
1 9 12 20 
3 9 13 19 
0 11 14 21 
5 10 17 19 
1 7 16 20 
5 10 13 23 
2 7 13 23 
2 8 15 19 
0 10 17 20 
3 6 15 18 
4 9 13 21 
2 10 16 19 
1 8 14 21 
0 6 12 22 
3 11 17 19 
0 7 12 23 
0 8 13 20 
0 11 16 18 
4 11 13 20 
5 9 13 19 
4 10 14 23 
1 11 15 23 
3 6 14 20 
4 8 13 18 
5 11 16 21 
3 9 15 22 
