458

0 7 14 21 28 
6 13 20 27 34 
3 12 19 26 29 
5 10 18 21 33 
4 12 19 25 30 
1 10 19 22 31 
2 12 19 22 32 
4 8 20 27 31 
2 11 15 27 34 
6 11 20 23 30 
2 9 17 26 29 
3 10 16 24 32 
5 11 18 27 30 
1 10 17 27 33 
4 13 18 23 28 
4 8 15 24 28 
4 9 17 25 31 
6 7 14 25 33 
3 9 16 26 34 
0 13 18 27 32 
5 13 17 21 34 
5 10 16 26 29 
4 7 19 24 34 
2 8 14 26 34 
3 13 15 23 31 
6 11 19 22 33 
1 11 14 27 32 
0 11 16 22 34 
0 11 20 25 29 
6 9 19 24 28 
4 10 17 23 30 
2 10 15 21 30 
1 7 17 25 29 
3 12 18 21 32 
0 8 20 26 33 
6 11 16 24 29 
1 9 18 22 32 
5 12 18 23 31 
0 13 14 24 34 
3 7 20 22 33 
5 8 15 25 34 
3 11 17 23 28 
1 11 16 25 31 
5 12 14 24 30 
2 11 20 22 28 
2 9 16 22 33 
1 11 17 21 30 
2 9 15 24 31 
3 7 15 27 29 
0 8 19 21 34 
5 13 20 24 28 
5 13 14 26 32 
1 12 15 27 30 
6 8 19 23 31 
2 7 18 26 32 
1 9 20 23 28 
0 7 19 23 29 
4 12 16 27 32 
2 12 14 27 33 
6 10 16 25 30 
4 8 16 21 33 
0 12 17 26 31 
3 10 18 23 29 
6 10 14 22 32 
4 9 19 27 33 
1 7 15 21 34 
3 13 18 25 34 
6 8 20 21 32 
2 12 15 23 28 
4 13 14 21 31 
0 12 20 24 32 
3 13 17 26 30 
5 13 18 22 29 
2 8 19 25 33 
3 7 17 24 31 
5 9 18 25 28 
5 8 16 27 28 
5 7 14 22 34 
0 10 15 22 33 
6 13 17 23 29 
1 10 20 26 30 
3 9 15 21 28 
0 11 19 24 31 
2 7 20 27 30 
1 9 15 25 33 
4 8 14 25 29 
6 12 18 26 34 
1 13 16 26 33 
5 10 20 27 32 
6 9 17 27 30 
4 8 17 26 32 
6 10 20 24 31 
5 10 19 23 28 
0 7 16 27 33 
3 10 17 22 34 
1 8 19 24 29 
5 11 14 21 29 
4 12 14 23 34 
6 12 16 21 28 
0 11 15 26 30 
2 12 16 25 34 
6 7 17 22 28 
5 9 20 26 31 
2 9 18 23 30 
2 13 14 25 30 
0 13 20 22 31 
4 7 15 25 32 
1 11 15 23 29 
3 8 20 24 34 
2 8 18 21 31 
3 9 18 24 33 
4 7 20 21 29 
0 12 18 22 30 
3 10 14 26 28 
4 11 16 26 28 
1 13 19 27 28 
6 9 15 26 32 
1 12 17 24 34 
1 12 19 23 33 
2 7 14 24 29 
1 8 15 26 31 
0 8 17 22 29 
1 8 16 23 32 
3 7 19 21 30 
5 11 19 25 32 
5 10 14 25 31 
4 13 17 22 33 
6 9 20 22 29 
0 11 14 23 33 
4 9 18 21 34 
4 7 16 23 31 
4 9 14 24 32 
3 9 20 25 30 
6 13 15 25 28 
2 13 16 21 32 
0 10 19 27 30 
6 8 18 27 29 
1 8 14 22 33 
0 10 16 21 31 
3 11 18 22 31 
1 13 15 24 32 
5 12 15 26 33 
2 7 17 23 33 
1 7 16 24 28 
5 12 19 27 34 
4 11 14 22 30 
4 10 20 25 28 
6 12 17 25 32 
1 9 16 21 29 
3 7 14 23 32 
6 7 18 24 30 
2 8 20 23 29 
0 10 17 24 28 
4 10 18 26 31 
2 13 17 27 31 
5 9 19 22 30 
0 13 15 21 29 
1 11 19 26 34 
3 12 20 27 28 
6 8 17 24 33 
2 10 18 24 34 
0 9 17 21 32 
6 8 15 22 30 
3 11 20 26 32 
3 12 16 23 30 
0 7 18 25 31 
5 11 17 25 33 
5 9 15 24 29 
3 9 14 27 31 
6 10 19 21 29 
3 13 16 22 28 
2 13 19 23 34 
5 12 20 25 29 
4 13 15 26 34 
4 11 20 24 33 
5 8 18 24 32 
6 7 19 27 32 
0 9 16 24 30 
1 12 14 25 28 
2 11 17 24 32 
6 11 15 21 31 
0 10 20 23 34 
2 10 18 27 28 
5 7 16 21 32 
2 10 19 26 33 
3 12 14 22 29 
1 8 18 25 30 
4 12 15 22 31 
3 8 15 27 33 
0 8 16 25 28 
4 12 17 21 29 
5 7 15 23 30 
6 13 19 26 31 
3 11 14 25 34 
2 13 20 21 33 
6 9 16 23 34 
4 7 17 27 28 
0 9 18 26 29 
1 12 20 22 34 
6 8 14 23 28 
2 8 17 21 28 
5 8 16 22 31 
5 7 19 24 33 
0 8 14 27 30 
2 10 15 25 29 
1 13 20 25 32 
3 11 15 24 30 
1 13 18 24 31 
2 8 16 26 30 
4 11 19 21 28 
0 9 15 27 34 
3 8 18 26 28 
2 10 14 23 31 
1 7 16 22 30 
4 12 18 25 33 
4 10 16 22 29 
6 9 14 21 33 
0 7 17 26 34 
2 11 19 27 29 
5 13 16 23 33 
4 11 18 23 32 
1 12 20 21 31 
4 10 14 27 34 
0 13 19 25 33 
3 9 19 23 32 
4 7 14 26 30 
6 10 15 23 33 
5 12 17 22 28 
3 11 16 21 33 
1 7 18 23 34 
4 13 20 26 29 
5 7 15 27 31 
0 9 14 22 28 
3 8 17 27 32 
6 7 20 26 28 
2 9 19 21 31 
1 9 19 25 34 
2 12 18 24 29 
0 10 19 26 32 
4 13 16 27 30 
5 11 15 22 32 
6 13 18 21 30 
1 9 17 26 28 
3 8 16 25 29 
1 10 14 21 34 
6 11 14 27 28 
6 12 14 24 31 
2 7 20 25 34 
5 9 17 23 32 
0 8 15 23 32 
3 13 19 24 29 
3 10 19 25 33 
2 11 14 26 31 
1 10 15 22 28 
1 13 17 22 32 
0 12 16 23 29 
4 8 18 22 34 
5 8 20 21 30 
2 7 19 25 28 
0 11 18 24 28 
2 9 20 27 32 
1 10 14 24 33 
6 7 17 21 31 
6 12 15 27 29 
5 11 16 24 34 
6 11 18 26 33 
5 7 17 25 30 
3 10 20 21 31 
2 13 15 22 29 
6 10 16 27 31 
6 12 20 23 33 
0 13 17 23 30 
