194

0 5 10 15 20 25 
4 9 14 19 24 29 
2 8 13 17 22 26 
1 7 13 16 22 29 
0 8 13 18 20 28 
2 7 11 18 23 29 
3 6 12 15 24 26 
1 7 12 19 21 28 
3 5 14 16 21 27 
1 7 14 17 20 27 
1 9 10 19 23 27 
4 6 14 17 21 25 
3 5 11 17 23 26 
3 8 13 19 24 25 
3 9 12 16 23 28 
2 9 14 18 22 28 
0 7 11 17 22 25 
4 6 10 16 23 29 
3 9 13 15 20 29 
2 8 12 18 24 27 
1 6 14 19 22 26 
4 7 10 15 21 27 
3 6 11 18 21 28 
0 6 11 19 20 29 
2 5 11 16 24 25 
4 5 13 15 23 28 
0 9 10 16 22 26 
4 8 12 17 20 29 
1 8 12 15 22 25 
0 5 14 18 24 26 
1 8 10 18 21 29 
2 6 14 15 23 27 
2 9 11 17 21 27 
3 7 10 19 20 26 
0 8 11 16 23 27 
2 5 12 15 21 29 
1 6 13 17 24 28 
4 5 11 18 22 27 
0 9 12 19 21 25 
1 9 12 18 20 26 
4 7 11 16 20 28 
4 8 10 19 22 28 
2 5 13 19 20 27 
3 7 14 18 23 25 
0 9 11 15 24 28 
2 7 14 16 21 26 
3 6 10 17 22 27 
2 6 12 16 20 25 
0 9 13 17 23 29 
4 9 10 18 24 25 
4 9 13 16 24 27 
0 7 12 15 23 26 
1 5 13 18 21 25 
1 8 14 16 24 28 
4 8 14 15 20 26 
3 5 12 19 22 29 
0 5 10 17 21 28 
1 6 10 15 20 28 
2 7 10 17 24 29 
4 6 13 18 23 26 
4 8 11 19 21 26 
2 8 10 17 23 25 
3 7 14 15 22 28 
0 6 12 18 22 29 
1 6 12 16 21 27 
3 7 11 19 24 27 
2 7 13 15 24 25 
4 5 12 16 22 26 
0 8 14 15 21 29 
1 5 14 17 23 29 
2 6 13 19 21 29 
1 6 11 15 23 25 
3 8 11 16 22 29 
1 9 13 15 21 26 
3 9 11 17 20 25 
0 5 12 17 24 27 
0 6 14 19 23 28 
0 6 10 19 24 25 
2 5 14 17 20 28 
0 7 13 18 21 27 
4 9 11 17 24 26 
4 8 13 16 21 25 
1 5 11 19 22 28 
3 5 10 18 24 28 
3 6 13 16 20 26 
0 8 14 19 22 27 
1 9 14 16 20 25 
2 9 12 19 23 26 
4 7 12 18 24 28 
2 8 10 16 20 27 
2 9 10 15 22 29 
3 8 13 15 23 27 
1 7 11 18 24 26 
3 7 12 17 21 29 
4 7 13 19 23 25 
2 6 11 15 22 26 
3 6 14 18 20 29 
1 5 10 16 23 26 
4 9 12 15 22 27 
2 5 14 19 22 25 
0 5 12 18 23 25 
2 8 11 15 21 28 
1 8 11 19 20 25 
4 6 12 17 22 28 
2 6 10 18 21 26 
0 5 13 16 24 29 
3 9 13 19 22 28 
4 6 12 19 20 27 
3 8 14 17 24 26 
3 7 10 16 21 25 
0 9 10 18 20 27 
1 9 11 16 21 29 
4 8 12 17 23 27 
1 5 14 15 24 27 
2 7 13 16 23 28 
3 6 13 18 22 25 
0 6 13 17 20 26 
0 7 14 16 20 29 
4 5 11 18 20 29 
1 9 12 17 24 25 
3 8 12 18 21 26 
1 7 10 18 23 28 
4 6 11 15 24 29 
2 9 13 18 20 25 
0 8 10 15 24 26 
2 7 12 16 22 27 
4 5 13 17 22 25 
1 8 12 19 23 29 
4 9 14 18 21 28 
3 5 12 15 20 28 
4 7 10 17 22 26 
0 5 11 19 21 26 
3 9 14 18 23 27 
2 5 10 19 24 28 
1 9 10 17 22 28 
3 8 11 17 23 28 
4 7 14 19 22 29 
2 7 11 15 20 27 
4 8 13 18 24 29 
0 6 13 15 22 27 
0 8 12 16 21 28 
4 9 14 15 23 25 
3 9 12 16 24 29 
1 8 13 17 21 27 
0 6 14 16 24 25 
3 5 10 15 23 29 
2 5 11 16 20 26 
0 7 13 19 24 26 
1 6 11 18 22 27 
2 8 14 19 20 29 
3 5 11 15 21 25 
1 7 10 15 20 29 
1 8 14 18 23 26 
3 9 10 19 21 29 
1 6 11 17 22 29 
0 5 10 16 22 28 
4 7 12 18 20 25 
0 8 11 18 24 25 
2 5 11 19 23 27 
2 9 14 16 24 26 
3 7 13 17 21 28 
1 7 10 18 22 25 
4 9 13 19 20 28 
3 6 12 19 23 27 
4 5 14 19 21 27 
2 6 12 17 23 28 
0 7 10 16 24 29 
0 9 14 17 22 25 
4 5 10 17 24 27 
4 6 14 16 22 28 
1 5 13 19 20 26 
3 9 11 18 22 26 
4 9 11 19 23 25 
1 5 12 19 24 29 
1 7 12 17 21 26 
2 7 11 19 21 25 
3 8 10 17 20 27 
0 7 10 17 23 27 
3 8 14 16 23 25 
2 6 13 18 24 27 
0 6 13 15 21 25 
3 5 13 15 22 26 
3 7 12 16 22 25 
0 8 12 17 20 29 
1 9 14 18 21 29 
4 9 12 16 21 29 
0 7 13 16 20 28 
1 8 13 16 23 26 
1 8 10 16 24 25 
2 6 11 16 22 29 
3 7 14 19 24 25 
2 8 10 18 22 28 
2 5 11 18 24 25 
4 9 10 17 20 28 
