135

0 4 8 12 16 20 24 28 32 
3 7 11 15 19 23 27 31 35 
2 5 9 15 16 22 25 31 34 
1 6 10 15 18 21 26 30 32 
3 6 10 14 17 20 27 29 33 
2 4 11 13 18 22 26 29 35 
2 7 8 12 18 23 25 30 33 
1 7 9 13 16 21 27 28 33 
2 5 10 14 19 21 24 28 35 
1 4 8 14 17 23 26 31 34 
0 7 10 12 19 22 26 29 34 
3 6 9 13 18 23 24 28 34 
0 6 11 13 17 21 25 31 32 
0 5 11 14 18 20 27 30 34 
3 7 9 14 17 22 24 30 32 
1 6 9 12 19 20 25 29 35 
3 5 8 13 19 20 26 30 33 
1 5 11 15 16 23 24 29 33 
3 4 11 12 16 21 25 30 34 
0 4 10 15 17 22 25 28 33 
2 4 8 15 19 21 27 29 32 
0 4 10 13 16 23 27 30 35 
2 7 10 14 16 20 26 31 32 
1 5 8 12 17 22 27 28 35 
0 6 8 14 18 22 24 31 33 
3 5 9 12 18 21 26 31 35 
2 7 8 13 17 20 24 29 34 
1 7 11 14 19 22 25 28 32 
0 7 9 15 18 20 26 28 35 
2 6 11 12 16 23 26 28 33 
0 5 9 14 18 23 25 29 32 
1 4 10 13 19 20 24 31 34 
2 6 11 15 17 20 24 30 35 
3 6 8 15 16 22 25 29 35 
0 4 9 14 19 21 26 30 33 
2 4 9 12 17 23 27 31 33 
3 5 10 12 17 23 24 31 32 
3 7 10 13 18 21 25 29 33 
0 6 8 15 19 23 27 28 34 
1 5 8 13 17 21 25 30 34 
2 5 11 13 16 22 27 30 32 
1 7 11 12 18 21 24 31 34 
2 6 9 14 16 21 26 29 34 
1 4 9 15 18 22 27 30 34 
3 4 8 14 18 20 25 28 35 
3 5 11 15 17 21 26 28 32 
2 6 10 14 19 23 25 30 34 
1 6 10 12 16 22 24 30 33 
1 6 8 13 18 20 27 31 32 
0 5 9 13 19 22 24 29 35 
1 7 10 13 17 23 26 29 35 
3 4 9 15 16 20 24 31 33 
0 5 11 12 19 20 25 31 33 
0 7 11 12 17 21 27 29 32 
3 5 10 14 16 22 26 28 34 
3 4 9 13 19 23 25 28 32 
0 7 8 14 16 21 25 31 35 
2 6 10 12 18 22 27 28 32 
2 7 8 15 19 22 26 31 33 
3 6 11 14 19 21 24 29 32 
2 7 9 12 17 20 25 28 34 
1 5 10 15 16 20 25 30 35 
1 5 9 12 19 23 26 30 32 
0 5 10 15 18 21 27 31 33 
1 4 11 13 17 20 24 28 33 
3 7 8 12 16 23 27 29 34 
1 4 9 14 17 21 27 29 35 
0 6 10 13 16 20 26 29 32 
2 4 10 12 18 23 24 29 35 
1 7 8 15 19 21 24 30 35 
3 6 11 13 17 22 26 31 34 
2 5 8 13 16 23 25 28 35 
0 7 11 13 17 23 24 30 33 
1 6 11 14 18 23 27 28 35 
2 4 11 15 18 23 25 31 32 
2 5 8 14 17 22 27 29 33 
0 6 9 15 16 23 27 31 32 
1 4 8 14 16 22 26 30 32 
2 7 9 13 19 20 27 31 35 
3 6 8 12 19 21 26 28 33 
3 4 10 15 18 20 26 29 34 
0 6 9 12 17 20 26 30 35 
3 4 11 12 19 22 27 30 33 
0 7 11 15 16 22 24 28 34 
2 4 9 13 18 21 24 30 33 
1 7 10 14 19 20 27 28 33 
3 5 8 15 18 20 24 30 32 
2 7 10 15 17 21 27 30 34 
1 5 9 13 18 22 25 31 33 
0 4 10 14 18 21 24 28 34 
2 6 10 13 16 21 24 31 35 
2 4 11 14 16 20 25 29 33 
3 7 11 14 18 20 26 30 35 
0 7 8 15 17 23 25 30 32 
2 5 11 12 19 21 26 29 34 
1 5 9 14 17 20 24 28 32 
3 4 10 14 17 22 25 31 35 
0 7 8 13 18 22 27 29 34 
1 4 8 12 18 20 26 29 33 
3 5 9 15 19 21 25 29 34 
0 5 11 12 16 23 26 31 35 
3 7 9 14 19 23 24 29 33 
0 6 10 12 19 22 25 31 32 
1 6 10 15 17 23 26 28 33 
3 6 8 13 17 21 27 30 33 
0 5 8 14 19 23 27 31 34 
2 4 9 13 17 22 24 28 32 
1 6 10 12 16 20 27 28 34 
0 7 9 12 16 22 25 30 35 
0 4 11 13 19 21 26 31 35 
3 5 9 14 16 21 27 28 32 
2 5 10 13 18 20 27 28 33 
0 5 9 15 17 20 25 29 34 
3 7 9 13 18 23 26 28 35 
2 6 8 15 18 21 25 28 34 
0 7 8 15 16 21 26 29 33 
1 7 10 15 17 21 24 31 35 
3 4 10 15 19 20 27 30 32 
2 7 11 14 18 20 25 31 32 
2 4 8 13 17 22 26 30 34 
1 6 9 15 18 22 26 29 32 
1 4 11 13 16 23 25 31 34 
3 7 8 13 16 20 25 28 32 
1 7 8 14 16 23 24 30 34 
3 6 8 12 19 20 25 31 33 
1 6 11 15 18 21 26 30 33 
0 5 9 12 18 23 24 28 34 
0 7 11 14 17 20 25 31 35 
3 6 9 14 18 22 27 31 33 
1 5 10 12 19 21 24 29 34 
1 4 8 15 16 20 26 28 35 
0 4 10 13 17 22 27 28 32 
1 6 8 13 19 23 24 29 34 
3 7 11 15 18 23 24 30 35 
0 4 8 15 18 23 26 29 32 
